geo,distance_to_water,elevation,flooded,forest_loss,landcover,rainfall
"{'type': 'Point', 'coordinates': [8.91577919488625, 8.197126967590634]}",218.40329667841553,200,0,1,40,12656.18091377471
"{'type': 'Point', 'coordinates': [5.681844172055973, 10.353083649477485]}",212.13203435596427,309,0,0,40,12303.822956449583
"{'type': 'Point', 'coordinates': [9.769178714799796, 8.825947666474299]}",152.97058540778355,181,0,0,40,11598.020345397264
"{'type': 'Point', 'coordinates': [4.693697359524499, 10.308167885271509]}",30.0,152,0,0,40,12874.960666217743
"{'type': 'Point', 'coordinates': [8.646284609650394, 6.355580635145614]}",169.7056274847714,67,0,1,10,20031.70706668828
"{'type': 'Point', 'coordinates': [7.074232862441232, 6.759822512999399]}",241.86773244895647,74,0,0,10,15519.672795472768
"{'type': 'Point', 'coordinates': [9.005610723298203, 10.802241291537246]}",361.2478373637689,825,0,1,20,13478.91365480689
"{'type': 'Point', 'coordinates': [9.72426295059382, 7.253895919265136]}",192.09372712298546,211,0,0,40,17982.750655994285
"{'type': 'Point', 'coordinates': [2.9419825554914327, 8.152211203384658]}",361.2478373637689,221,0,1,20,13196.134624416634
"{'type': 'Point', 'coordinates': [12.733619152394217, 9.49968412956394]}",108.16653826391968,246,0,0,20,9996.001914586705
"{'type': 'Point', 'coordinates': [11.386146226214935, 10.173420592653581]}",108.16653826391968,332,0,0,40,9050.09668392688
"{'type': 'Point', 'coordinates': [8.46662155282649, 6.445412163557567]}",180.0,38,0,0,40,19056.29477106937
"{'type': 'Point', 'coordinates': [11.116651640979079, 10.532746706301388]}",210.0,477,0,1,40,8996.246529867818
"{'type': 'Point', 'coordinates': [12.643787623982265, 11.251398933597006]}",492.0365840057018,411,0,0,30,9362.098532059
"{'type': 'Point', 'coordinates': [6.310664870939639, 6.5352436919695185]}",218.40329667841553,296,0,1,10,17357.32438164926
"{'type': 'Point', 'coordinates': [11.925135396686647, 9.679347186387844]}",30.0,219,0,0,30,8710.61365867552
"{'type': 'Point', 'coordinates': [4.154708189052787, 9.72426295059382]}",271.66155414412253,283,0,0,20,12509.137403787936
"{'type': 'Point', 'coordinates': [7.20898015505916, 5.3674338226141405]}",361.2478373637689,103,0,1,10,23043.928312189804
"{'type': 'Point', 'coordinates': [7.164064390853183, 8.91577919488625]}",201.24611797498108,223,0,1,40,13203.673118773513
"{'type': 'Point', 'coordinates': [7.388643211883064, 5.816591464673902]}",391.15214431215895,235,0,1,10,21684.95709699634
"{'type': 'Point', 'coordinates': [4.783528887936452, 12.104798453510552]}",123.69316876852982,279,0,0,20,8081.5298051250065
"{'type': 'Point', 'coordinates': [11.475977754626888, 11.610725047244815]}",543.3231082882451,436,0,0,40,8246.46338305104
"{'type': 'Point', 'coordinates': [4.289455481670715, 11.251398933597006]}",30.0,152,0,0,40,10740.931892374861
"{'type': 'Point', 'coordinates': [4.783528887936452, 8.646284609650394]}",169.7056274847714,327,0,1,20,13078.877268365577
"{'type': 'Point', 'coordinates': [10.532746706301388, 10.397999413683461]}",450.0,408,0,0,20,9691.970610270388
"{'type': 'Point', 'coordinates': [7.523390504500992, 5.95133875729183]}",305.9411708155671,64,0,0,40,18992.244237492443
"{'type': 'Point', 'coordinates': [7.8378008539428246, 8.46662155282649]}",67.0820393249937,441,0,0,10,13518.54707460997
"{'type': 'Point', 'coordinates': [9.903926007417724, 8.242042731796609]}",30.0,107,0,1,40,10693.453055288915
"{'type': 'Point', 'coordinates': [7.523390504500992, 10.577662470507365]}",0.0,628,0,1,40,11783.373942879829
"{'type': 'Point', 'coordinates': [9.230189544328082, 8.107295439178682]}",108.16653826391968,148,0,0,40,11562.504122367793
"{'type': 'Point', 'coordinates': [6.355580635145614, 9.634431422181867]}",150.0,259,0,1,40,11327.353118937364
"{'type': 'Point', 'coordinates': [4.064876660640834, 7.074232862441232]}",323.10988842807024,106,0,1,10,15864.143999039357
"{'type': 'Point', 'coordinates': [9.49968412956394, 8.197126967590634]}",67.0820393249937,142,0,1,20,10649.532621018847
"{'type': 'Point', 'coordinates': [9.050526487504179, 6.939485569823304]}",212.13203435596427,133,0,0,40,15040.042002330534
"{'type': 'Point', 'coordinates': [5.816591464673902, 4.91827618055438]}",67.0820393249937,20,0,1,10,29828.60647745378
"{'type': 'Point', 'coordinates': [9.814094479005773, 7.478474740295016]}",192.09372712298546,208,0,0,40,14721.930914641358
"{'type': 'Point', 'coordinates': [7.388643211883064, 6.625075220381471]}",234.30749027719963,438,0,1,10,16881.999064091593
"{'type': 'Point', 'coordinates': [13.94634478595557, 13.137861030248002]}",30.0,282,0,0,90,2998.496854172417
"{'type': 'Point', 'coordinates': [12.284461510334456, 11.835303868274694]}",636.3961030678928,368,0,0,40,7750.886331268469
"{'type': 'Point', 'coordinates': [12.958197973424097, 10.84715705574322]}",597.7457653551382,485,0,0,30,10139.736446126917
"{'type': 'Point', 'coordinates': [11.970051160892623, 9.230189544328082]}",189.73665961010278,248,0,0,20,9437.854273870298
"{'type': 'Point', 'coordinates': [12.0149669250986, 11.79038810406872]}",792.0227269466451,371,0,0,40,7820.286582663475
